id_empresa,nome_empresa
9013,Tommy
16725,Top Car Veículos
21593,Torrent do Brasil
14366,Total Distribuidora
8230,Total Teófilo Otoni Automóveis
23437,TP - Link
24798,Tradimaq
2228,Tramontina
150,Tramontina Norte
673,Tramontina Planalto
2228,Tramontina Sudeste
2098,Tramontina Sul
21387,Transrio
1907,Tratorcase
4423,Tratornew
14632,Trelleborg do Brasil
9202,Tristão Comércio Exterior
9202,Tristão Companhia de Comércio Exterior
23404,Trocafone
7797,Ubervel
3064,Uggeri
19139,Ultrapar
9574,Uniaves
4716,Unibraspe
5667,Unicafé
7055,Unidasul
3371,Unilider
7295,Unimarka Distribuidora
10118,Unissul
10118,Unissul Supermercados
7782,ValorCafé
7253,Valore
24965,Vamos Comércio de Máquinas Linha Amarela
13052,Vamos Máquinas
20384,Vellore
6435,Via
6670,Via Sul
6435,Via Varejo
24647,Vitale Hospitalar
16535,Viterra Agriculture Brasil
7517,Viterra Brasil
23902,Vitória Diesel - Mercedes
7479,Vitóriawagen
14341,Viveo
1250,Voestalpine Meincol
14915,Vogel
14915,Vogel Telecom
24333,Voiter Cereais
19139,Vonpar Participações
3981,VR Grazziotin
23108,VSTM Comércio de Veículos
24824,Vulcabrás Distribuidora de Artigos Esportivos
23166,Wanhua Borsodchem Latim América Comércio de Produtos Químicos
10843,Wecom
1133,Welser
22792,Westwing
22500,White Solder
5154,Wilkes
5154,Wilkes Participações
7960,Wiser Educação
4059,WLM
3061,World Commerce Trading
3952,Yamada
13286,Zaffari
18319,Zee Dog
19740,ZZEXP Comercial Exportadora
