id_empresa,id_conta,data_fechamento,valor
20837,103,2023-12-31,15898024
20837,178,2023-12-31,71035750
20837,230,2023-12-31,2119513
20837,286,2023-12-31,16678815
20837,332,2023-12-31,355814854
20837,333,2023-12-31,-326808888
20837,335,2023-12-31,-22521447
20837,347,2023-12-31,6484519
20837,375,2023-12-31,2910278
20837,421,2023-12-31,-4682318
20837,462,2023-12-31,-1728679
20837,473,2023-12-31,5400283
20837,55,2022-12-31,53327880
20837,56,2022-12-31,38897920
20837,57,2022-12-31,2259000
20837,103,2022-12-31,14429960
20837,178,2022-12-31,34952700
20837,230,2022-12-31,4105740
20837,286,2022-12-31,14269990
20837,332,2022-12-31,241318000
20837,333,2022-12-31,-219885640
20837,335,2022-12-31,-17176570
20837,347,2022-12-31,4255000
20837,375,2022-12-31,1619000
20837,421,2022-12-31,-1263730
20837,462,2022-12-31,-1954000
20837,473,2022-12-31,4091200
20837,55,2021-12-31,54461227
20837,56,2021-12-31,41893552
20837,57,2021-12-31,1386427
20837,103,2021-12-31,12567675
20837,178,2021-12-31,36234764
20837,230,2021-12-31,5565600
20837,286,2021-12-31,12660863
20837,332,2021-12-31,272290906
20837,333,2021-12-31,-252179197
20837,335,2021-12-31,-12242972
20837,347,2021-12-31,7868735
20837,375,2021-12-31,5118572
20837,421,2021-12-31,7013894
20837,462,2021-12-31,-6233827
20837,473,2021-12-31,-582885
20837,55,2020-12-31,28850680
20837,56,2020-12-31,22433243
20837,57,2020-12-31,1189246
20837,103,2020-12-31,6417437
20837,178,2020-12-31,17377529
20837,230,2020-12-31,3192774
20837,286,2020-12-31,8280378
20837,332,2020-12-31,106023553
20837,333,2020-12-31,-94042788
20837,335,2020-12-31,-9428148
20837,347,2020-12-31,2552617
20837,375,2020-12-31,1610982
20837,421,2020-12-31,-2307039
20837,462,2020-12-31,-5329655
20837,473,2020-12-31,6746392
8419,55,2021-06-30,3192918000
8419,56,2021-06-30,2392321000
8419,57,2021-06-30,473124000
8419,103,2021-06-30,800597000
8419,178,2021-06-30,2064762000
